"","id","name","zone","ubicacion_full","calle","barrio","barrio2","distrito","area","price","price_before","square_mt","rooms","wc","terraza","balcon","estado","año","armarios","cocina","amueblado","planta","calef","asc","aire","exterior","datalles2","cp","actualizacion","actualizacion2","extract_day","distrito2","regex_barris","key_open","key_shp","casa","lujo","estudio","wc2","rooms2","log_price","terraza_balcon","flag_planta","new_planta"
"3335",101234143,"Alquiler de Piso en calle Gran Via de les Corts Catalanes","El Besòs, Barcelona","Calle Gran Via de les Corts Catalanes|Barrio El Besòs|Distrito Sant Martí|Barcelona|Área de Barcelona, Barcelona","Calle Gran Via de les Corts Catalanes","Barrio El Besòs","Barrio El Besòs","Distrito Sant Martí","Área de Barcelona, Barcelona",786,786,48,2,1,0,0,"",NA,0,0,0,"bajo",0,1,0,0,"||en trámite|||",8020,"Anuncio actualizado hace 20 horas","Anuncio actualizado el 2 de mayo","2023-05-03","Distrito Sant Martí","besòs","besòs maresme","besòs","0","0","0","1","2",6.66695679242921,0,0,0
"3336",100937433,"Alquiler de Dúplex en Sant Martí de Provençals","Sant Martí, Barcelona","|Barrio Sant Martí de Provençals|Distrito Sant Martí|Barcelona|Área de Barcelona, Barcelona","","Barrio Sant Martí de Provençals","Barrio Sant Martí de Provençals","Distrito Sant Martí","Área de Barcelona, Barcelona",1800,1800,80,3,1,0,1,"segunda mano/buen estado",NA,1,1,1,"planta 4",0,1,0,1,"||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8020,"Anuncio actualizado hace más de 2 meses","Anuncio actualizado el 27 de marzo","2023-05-03","Distrito Sant Martí","sant martí provençals","sant martí provençals","sant martí provençals","0","0","0","1","3",7.49554194388426,1,0,4
"3337",90371010,"Alquiler de Piso en Sant Gervasi - Galvany","Sarrià-Sant Gervasi, Barcelona","|Barrio Sant Gervasi - Galvany|Distrito Sarrià-Sant Gervasi|Barcelona|Área de Barcelona, Barcelona","","Barrio Sant Gervasi - Galvany","Barrio Sant Gervasi - Galvany","Distrito Sarrià-Sant Gervasi","Área de Barcelona, Barcelona",1150,1150,80,2,1,0,1,"segunda mano/buen estado",1936,1,0,0,"planta 1",1,1,0,1,"||consumo: |235 kwh/m² año|||emisiones: |39 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8021,"Anuncio actualizado hace 25 minutos","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Sarrià-Sant Gervasi","sant gervasi galvany","sant gervasi galvany","sant gervasi galvany","0","0","0","1","2",7.0475172213573,1,0,1
"3338",99568375,"Alquiler de Piso en calle de Ganduxer","Sant Gervasi - Galvany, Barcelona","Calle de Ganduxer|Barrio Sant Gervasi - Galvany|Distrito Sarrià-Sant Gervasi|Barcelona|Área de Barcelona, Barcelona","Calle de Ganduxer","Barrio Sant Gervasi - Galvany","Barrio Sant Gervasi - Galvany","Distrito Sarrià-Sant Gervasi","Área de Barcelona, Barcelona",2250,2250,108,4,3,0,1,"segunda mano/buen estado",1966,1,0,0,"planta 4",1,1,1,1,"||aire acondicionado||||consumo: |198 kwh/m² año|||emisiones: |49 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8021,"Anuncio actualizado hace 38 minutos","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Sarrià-Sant Gervasi","sant gervasi galvany","sant gervasi galvany","sant gervasi galvany","0","0","0","3","4 o mas",7.71868549519847,1,0,4
"3339",99274560,"Alquiler de Piso en calle de Bori i Fontestà","Sant Gervasi - Galvany, Barcelona","Calle de Bori i Fontestà|Barrio Sant Gervasi - Galvany|Distrito Sarrià-Sant Gervasi|Barcelona|Área de Barcelona, Barcelona","Calle de Bori i Fontestà","Barrio Sant Gervasi - Galvany","Barrio Sant Gervasi - Galvany","Distrito Sarrià-Sant Gervasi","Área de Barcelona, Barcelona",4000,4000,270,5,3,1,1,"segunda mano/buen estado",1956,1,1,0,"planta 2",1,1,1,1,"||aire acondicionado||||consumo: |133 kwh/m² año|||emisiones: |22 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8021,"Anuncio actualizado hace 2 horas","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Sarrià-Sant Gervasi","sant gervasi galvany","sant gervasi galvany","sant gervasi galvany","0","0","0","3","4 o mas",8.29404964010203,1,0,2
"3340",99865775,"Alquiler de Piso en calle de Muntaner","Sant Gervasi - Galvany, Barcelona","Calle de Muntaner|Barrio Sant Gervasi - Galvany|Distrito Sarrià-Sant Gervasi|Barcelona|Área de Barcelona, Barcelona","Calle de Muntaner","Barrio Sant Gervasi - Galvany","Barrio Sant Gervasi - Galvany","Distrito Sarrià-Sant Gervasi","Área de Barcelona, Barcelona",1990,2100,134,3,1,0,1,"segunda mano/buen estado",1925,1,0,0,"planta 4",1,1,1,1,"||aire acondicionado||||consumo: |118 kwh/m² año|||emisiones: |22 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8021,"Anuncio actualizado hace 39 minutos","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Sarrià-Sant Gervasi","sant gervasi galvany","sant gervasi galvany","sant gervasi galvany","0","0","0","1","3",7.59588991771854,1,0,4
"3341",101282005,"Alquiler de Ático en calle de Calaf","Sant Gervasi - Galvany, Barcelona","Calle de Calaf|Urb. Sant Gervasi – Galvany|Barrio Sant Gervasi - Galvany|Distrito Sarrià-Sant Gervasi|Barcelona|Área de Barcelona, Barcelona","Calle de Calaf","Urb. Sant Gervasi – Galvany","Barrio Sant Gervasi - Galvany","Barrio Sant Gervasi - Galvany","Barcelona",1400,1400,50,2,1,1,0,"segunda mano/buen estado",NA,1,1,0,"planta 5",0,1,1,1,"||aire acondicionado||||consumo: |167 kwh/m² año|||emisiones: |40 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8021,"Anuncio actualizado hace 3 horas","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Sarrià-Sant Gervasi","sant gervasi galvany","sant gervasi galvany","sant gervasi galvany","0","0","0","1","2",7.24422751560335,1,0,5
"3342",101029656,"Alquiler de Ático en calle Francesc Pérez Cabrero","Sant Gervasi - Galvany, Barcelona","Calle Francesc Pérez Cabrero|Barrio Sant Gervasi - Galvany|Distrito Sarrià-Sant Gervasi|Barcelona|Área de Barcelona, Barcelona","Calle Francesc Pérez Cabrero","Barrio Sant Gervasi - Galvany","Barrio Sant Gervasi - Galvany","Distrito Sarrià-Sant Gervasi","Área de Barcelona, Barcelona",5700,5700,250,6,4,1,0,"segunda mano/buen estado",NA,1,0,0,"planta 8",1,1,0,1,"||aire acondicionado|||zonas verdes||||consumo: |999 kwh/m² año|||emisiones: |999 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8021,"Anuncio actualizado hace 45 minutos","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Sarrià-Sant Gervasi","sant gervasi galvany","sant gervasi galvany","sant gervasi galvany","0","1","0","4 o mas","4 o mas",8.64822145382264,1,0,8
"3343",101280754,"Alquiler de Ático en calle de Johann Sebastian Bach","Sant Gervasi - Galvany, Barcelona","Calle de Johann Sebastian Bach|Barrio Sant Gervasi - Galvany|Distrito Sarrià-Sant Gervasi|Barcelona|Área de Barcelona, Barcelona","Calle de Johann Sebastian Bach","Barrio Sant Gervasi - Galvany","Barrio Sant Gervasi - Galvany","Distrito Sarrià-Sant Gervasi","Área de Barcelona, Barcelona",3800,3800,140,4,3,1,0,"segunda mano/buen estado",1979,0,1,1,"planta 6",1,1,1,1,"||aire acondicionado||||consumo: |185 kwh/m² año|||emisiones: |38 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8021,"Anuncio actualizado hace 20 horas","Anuncio actualizado el 2 de mayo","2023-05-03","Distrito Sarrià-Sant Gervasi","sant gervasi galvany","sant gervasi galvany","sant gervasi galvany","0","0","0","3","4 o mas",8.24275634571448,1,0,6
"3344",101231241,"Alquiler de Piso en calle de Santaló","Sant Gervasi - Galvany, Barcelona","Calle de Santaló|Barrio Sant Gervasi - Galvany|Distrito Sarrià-Sant Gervasi|Barcelona|Área de Barcelona, Barcelona","Calle de Santaló","Barrio Sant Gervasi - Galvany","Barrio Sant Gervasi - Galvany","Distrito Sarrià-Sant Gervasi","Área de Barcelona, Barcelona",2800,2800,138,3,2,1,1,"segunda mano/buen estado",1977,1,1,0,"planta 5",1,1,1,1,"||aire acondicionado||||consumo: |106,64 kwh/m² año|||emisiones: |21,63 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8021,"Anuncio actualizado hace 46 minutos","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Sarrià-Sant Gervasi","sant gervasi galvany","sant gervasi galvany","sant gervasi galvany","0","0","0","2","3",7.9373746961633,1,0,5
"3345",101278849,"Alquiler de Piso en calle de Calvet","Sant Gervasi - Galvany, Barcelona","Calle de Calvet|Barrio Sant Gervasi - Galvany|Distrito Sarrià-Sant Gervasi|Barcelona|Área de Barcelona, Barcelona","Calle de Calvet","Barrio Sant Gervasi - Galvany","Barrio Sant Gervasi - Galvany","Distrito Sarrià-Sant Gervasi","Área de Barcelona, Barcelona",2200,2200,150,4,2,1,1,"segunda mano/buen estado",NA,1,0,0,"planta 4",1,1,0,1,"||no indicado|||",8021,"Anuncio actualizado hace 4 horas","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Sarrià-Sant Gervasi","sant gervasi galvany","sant gervasi galvany","sant gervasi galvany","0","0","0","2","4 o mas",7.69621263934641,1,0,4
"3346",101243352,"Alquiler de Dúplex en ronda del General Mitre","Sant Gervasi - Galvany, Barcelona","Ronda del General Mitre|Barrio Sant Gervasi - Galvany|Distrito Sarrià-Sant Gervasi|Barcelona|Área de Barcelona, Barcelona","Ronda del General Mitre","Barrio Sant Gervasi - Galvany","Barrio Sant Gervasi - Galvany","Distrito Sarrià-Sant Gervasi","Área de Barcelona, Barcelona",6200,6200,280,3,3,1,0,"segunda mano/buen estado",1957,1,1,1,"planta 8",1,1,1,1,"||aire acondicionado||||consumo: |139 kwh/m² año|||emisiones: |23 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8021,"Anuncio actualizado hace 47 minutos","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Sarrià-Sant Gervasi","sant gervasi galvany","sant gervasi galvany","sant gervasi galvany","0","1","0","3","3",8.73230457103318,1,0,8
"3347",94290421,"Alquiler de Ático en calle de Calvet","Sant Gervasi - Galvany, Barcelona","Calle de Calvet|Barrio Sant Gervasi - Galvany|Distrito Sarrià-Sant Gervasi|Barcelona|Área de Barcelona, Barcelona","Calle de Calvet","Barrio Sant Gervasi - Galvany","Barrio Sant Gervasi - Galvany","Distrito Sarrià-Sant Gervasi","Área de Barcelona, Barcelona",2900,2900,78,1,1,1,0,"segunda mano/buen estado",1945,1,1,1,"planta 5",1,1,1,1,"||aire acondicionado||||consumo: |48 kwh/m² año|||emisiones: |15 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8021,"Anuncio actualizado hace 46 minutos","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Sarrià-Sant Gervasi","sant gervasi galvany","sant gervasi galvany","sant gervasi galvany","0","0","0","1","1",7.97246601597457,1,0,5
"3348",100257863,"Alquiler de Piso en calle de Modolell","Sant Gervasi - Galvany, Barcelona","Calle de Modolell|Barrio Sant Gervasi - Galvany|Distrito Sarrià-Sant Gervasi|Barcelona|Área de Barcelona, Barcelona","Calle de Modolell","Barrio Sant Gervasi - Galvany","Barrio Sant Gervasi - Galvany","Distrito Sarrià-Sant Gervasi","Área de Barcelona, Barcelona",9500,9500,380,5,5,1,0,"segunda mano/buen estado",1957,1,1,1,"planta 1",1,1,1,1,"||aire acondicionado||||consumo: |130 kwh/m² año|||emisiones: |25 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8021,"Anuncio actualizado hace una hora","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Sarrià-Sant Gervasi","sant gervasi galvany","sant gervasi galvany","sant gervasi galvany","0","1","0","4 o mas","4 o mas",9.15904707758863,1,0,1
